Character 	Background (From Wikia)	Picture (From wiki)	Episode died	Wikia link	Affiliation
Sandor Clegane	"Known as the Hound for his savage nature and unquestioning obedience to his masters, Clegane served as the personal bodyguard of Joffrey Baratheon for many years, frequently chafing under Joffrey's sadistic whims yet always following orders. The Hound is taciturn, brutal, and frequently callous, but not completely without compassion. He joined the Kingsguard when Joffrey took the Iron Throne, but deserted his post during the Battle of the Blackwater.  Following his desertion of the Kingsguard, Clegane leaves King's Landing only to be captured by the Brotherhood Without Banners. He wins his freedom after a trial by combat against Beric Dondarrion. Upon his release, he captures Arya Stark, intending to ransom her to a wealthy relative. His attempts to do so are repeatedly foiled, however, and Arya becomes more of a traveling companion and him her protector. Clegane is critically wounded in a duel with Brienne of Tarth when she attempts to assume guardianship of Arya. His fate is left uncertain when Arya refuses to kill him out of mercy, leaving him for dead on the side of a mountain road in the Vale."	http://img3.wikia.nocookie.net/__cb20150607060449/gameofthrones/images/thumb/9/91/Sandor_%28The_Children%29.PNG/250px-Sandor_%28The_Children%29.PNG	0	http://gameofthrones.wikia.com/wiki/Sandor_Clegane	Lannister
Shae	"Shae is a prostitute and mistress to Tyrion Lannister. When Tyrion is sent to King's Landing to be acting Hand of the King, he takes Shae with him as his mistress in defiance of his father's orders. The only person who knows she is there is Varys, the Master of Whispers. Tyrion arranges for her to work as a handmaiden to Sansa Stark, where she acts as confidant through the difficulties of Joffrey's abuse. After the Battle of the Blackwater, she urges Tyrion to flee with her to Pentos. When he tells her his place is here, she agrees to stay with him. However, their relationship comes under strain when Tyrion is forcibly married to Sansa.  Fearing for her safety, Tyrion eventually sends her away, insulting her in the process. However, she is intercepted before leaving the capital and gives false testimony against Tyrion at his trial for the assassination of King Joffrey, in the process having an affair with Tyrion's father, Tywin. This betrayal proves to be too much of a blow towards Tyrion, who kills both Shae and Tywin in revenge."	http://img1.wikia.nocookie.net/__cb20140505142823/gameofthrones/images/thumb/0/01/Shae_in_Two_Swords.png/250px-Shae_in_Two_Swords.png	40	http://gameofthrones.wikia.com/wiki/Shae	Lannister
Tommen Baratheon	"Tommen is the younger brother of late King Joffrey and Princess Myrcella, and Joffrey's heir presumptive to the Iron Throne. Though legally the son of the late King Robert Baratheon and Queen Cersei Lannister, his true father is Ser Jaime Lannister, the Queen's twin brother.  Following Joffrey's death at his wedding feast, Tommen is crowned King. His formal style is Tommen of the House Baratheon, First of His Name, King of the Andals and the First Men and Lord of the Seven Kingdoms. As he is not old enough to rule in his own right and command the military forces of the Seven Kingdoms, he does not yet bear the title of Protector of the Realm.  With the defeat of the Baratheon army at the Battle of Winterfell, Tommen's claim to the Iron Throne is now unchallenged and, with the death of Stannis Baratheon and his daughter, Shireen, he remains the last surviving member of House Baratheon. However, in truth, House Baratheon has gone extinct as Tommen has no Baratheon blood."	http://img2.wikia.nocookie.net/__cb20150504161509/gameofthrones/images/thumb/9/94/Tommen_sons_of_the_harpy.jpg/250px-Tommen_sons_of_the_harpy.jpg		http://gameofthrones.wikia.com/wiki/Tommen_Baratheon	Lannister
Tyrion Lannister	"Tyrion Lannister is the youngest son of Lord Tywin Lannister and younger brother of Cersei and Jaime Lannister, and a dwarf. Tyrion is falsely accused of the attempted assassination of Bran Stark and taken captive by Catelyn Stark. Though he is eventually freed after a trial by combat, his arrest triggers tension between the Lannisters and the Starks, which escalates into war after the death of King Robert and execution of Eddard Stark. Tyrion acts as Hand of the King during this conflict. With him is his mistress, Shae, and Bronn, his bodyguard. Under difficult conditions, Tyrion holds the realm together and organizes King's Landing's defenses. He plays a vital role in the Crown's victory over Stannis Baratheon's forces during the Battle of Blackwater. Afterwards, Tyrion loses his position as Hand to his father. He is unwillingly married to Sansa Stark, considered the heiress to the North after the scattering of the Starks.  When Joffrey is poisoned, Cersei accuses Tyrion of his murder and Tyrion is put on trial. Realizing that the trial is a farce, Tyrion demands a trial by combat. However, his champion, Prince Oberyn, is brutally murdered by Gregor Clegane, sentencing him to death. Before the sentence can be carried out, Jaime frees him.  A vengeful Tyrion kills Shae and his father, then flees Westeros with Varys, eventually starting a quest to join forces with the exiled Daenerys Targaryen. He eventually becomes Daenerys' advisor. After Daenerys flees Meereen on dragon back, Tyrion is chosen to rule the city in her absence."	http://img4.wikia.nocookie.net/__cb20150218060011/gameofthrones/images/thumb/e/e1/TyrionS5.png/250px-TyrionS5.png		http://gameofthrones.wikia.com/wiki/Tyrion_Lannister	Lannister
Tywin Lannister	"Tywin Lannister was the head of House Lannister. He was the father of Cersei, Jaime and Tyrion Lannister. Originally the Hand of the King to Aerys II Targaryen, Tywin resigned after serving in the position for twenty years because of a growing rift with the King. As Aerys's growing madness led to rebellion, Tywin sided with the rebels after their victory at the Trident. He led his army to King's Landing where his forces sacked the city, while his son Jaime killed the Mad King. After the victory, Robert Baratheon became king and took Tywin's daughter, Cersei, for his queen. When war broke out between House Stark and House Lannister after the death of King Robert, Tywin led the war against Robb Stark. His forces defeated Stannis Baratheon during the Battle of the Blackwater. Tywin was reappointed Hand of the King after this victory and once again assumed rule of the realm. His primary goal was to end the war: he arranged the marriage of Petyr Baelish to Lysa Arryn, the Regent of the Vale, to bring her back into the fold and backed House Bolton and House Frey in their betrayal of the Starks at the infamous Red Wedding, which ended the Northern rebellion. After the death of King Joffrey, Tywin led the trial against his son, Tyrion, who was accused of the deed. When Tyrion lost his trial by combat, Tywin sentenced his son to death. Tyrion escaped and, in revenge, killed his father as he sat on the privy. "	http://img2.wikia.nocookie.net/__cb20140326175142/gameofthrones/images/thumb/e/ed/Charles-Dance-as-Tywin-Lannister_photo-Macall-B.Polay_HBO.jpg/250px-Charles-Dance-as-Tywin-Lannister_photo-Macall-B.Polay_HBO.jpg	40	http://gameofthrones.wikia.com/wiki/Tywin_Lannister	Lannister
Davos Seaworth	"Davos is a landed knight, and a former smuggler who was in the service of Stannis Baratheon, Lord of Dragonstone and claimant to the Iron Throne, whom he served as Hand of the King."	http://img1.wikia.nocookie.net/__cb20150419151136/gameofthrones/images/4/4b/Davos_Seaworth_%28S05E01%29.jpg		http://gameofthrones.wikia.com/wiki/Davos_Seaworth	Baratheon
Grand Maester Pycelle	Pycelle is the King's Grand Maester and a member of the small council. He was ousted from the council and imprisoned by Tyrion Lannister for acting as a spy for Queen Regent Cersei Lannister but was later reinstated by Tywin Lannister.	http://img1.wikia.nocookie.net/__cb20150313210334/gameofthrones/images/thumb/e/e9/Pycelle_%28S04E06%29.jpg/250px-Pycelle_%28S04E06%29.jpg		http://gameofthrones.wikia.com/wiki/Pycelle	Baratheon
Melisandre	She is a priestess of the Lord of Light and a close advisor to Stannis Baratheon.	http://img2.wikia.nocookie.net/__cb20150604204859/gameofthrones/images/thumb/7/7c/Melisandre_The_Dance_of_Dragons.jpg/250px-Melisandre_The_Dance_of_Dragons.jpg		http://gameofthrones.wikia.com/wiki/Melisandre	Baratheon
Renly Baratheon	"Renly is a younger son of House Baratheon who is the Lord of Storm's End and has served on the small council as Master of Laws. Following the death of his oldest brother King Robert Baratheon, Renly claims the Iron Throne for himself, contesting the claims of his nephew Joffrey Baratheon and his older brother Stannis Baratheon. Renly is assassinated by a shadow creature conjured by Stannis' advisor Melisandre during the War of the Five Kings. After Renly's death most of his bannermen from the Stormlands submit to his older brother.  Renly styled himself as Renly of the House Baratheon, First of His Name, King of the Andals and the First Men, Lord of the Seven Kingdoms, and Protector of the Realm."	http://img1.wikia.nocookie.net/__cb20130116113034/gameofthrones/images/thumb/3/3d/Renly_profile.jpg/250px-Renly_profile.jpg	15	http://gameofthrones.wikia.com/wiki/Renly_Baratheon	Baratheon
Robert Baratheon	"Robert Baratheon was the ruler of the Seven Kingdoms. He took the throne through conquest in the war known as Robert's Rebellion. Robert was a great warrior in his youth. He killed Rhaegar Targaryen, Prince of Dragonstone, at the Battle of the Trident. After the war, Robert married Cersei Lannister to cement an alliance with House Lannister to hold the kingdoms together, but the marriage is loveless. Robert and Cersei have three children: Joffrey, Myrcella and Tommen. Unbeknown to Robert, all three were actually fathered by Cersei's twin brother, Jaime Lannister.  Robert found the winning of his kingdom far more fulfilling than the running of it, and spent much of the next seventeen years whoring, drinking and hunting. He is a childhood friend of Eddard Stark and considers him his true brother. He names Ned Hand of the King when the previous Hand dies in mysterious circumstances. Eddard launches an investigation and discovers that his predecessor was scrutinizing the parentage of Cersei's children. Fearful of exposure, Cersei instructs Robert's squire, Lancel Lannister, to give him too much wine while hunting. Robert is fatally wounded by a boar and dies soon afterwards. Robert names Eddard protector of the realm just before his death. Cersei ignores the proclamation, has Eddard arrested, and seizes the throne for Joffrey. The resulting dispute leads to the War of the Five Kings."	http://img2.wikia.nocookie.net/__cb20141119000127/gameofthrones/images/thumb/d/d4/RobertBaratheon.jpg/250px-RobertBaratheon.jpg	7	http://gameofthrones.wikia.com/wiki/Robert_Baratheon	Baratheon
Shireen Baratheon	Shireen was the daughter and only child of Stannis and Selyse Baratheon.	http://img1.wikia.nocookie.net/__cb20140406204724/gameofthrones/images/thumb/e/eb/Shireen_Baratheon_Season_4_profile.jpg/250px-Shireen_Baratheon_Season_4_profile.jpg	49	http://gameofthrones.wikia.com/wiki/Shireen_Baratheon	Baratheon
Stannis Baratheon	"Stannis Baratheon is the Lord of Dragonstone, the younger brother of late King Robert Baratheon, and older brother of Renly Baratheon. When Eddard Stark discovers that Robert's heir Joffrey is in reality a bastard born out of incest between Queen Cersei Lannister and her brother Jaime, Stannis, as the lawful heir, claims the Iron Throne for himself, beginning the War of the Five Kings. He attacks King's Landing, but most of his forces are destroyed and scattered at the Battle of the Blackwater, and he retreats to Dragonstone.  Stannis is heavily influenced by his priestess Melisandre, an adherent of the Lord of Light religion. He is also attended at most times by his loyal Hand and confidant, Ser Davos Seaworth. Stannis raises a new army courtesy of a loan from the Iron Bank of Braavos, and inflicts a decisive defeat on an invading wilding army beyond the Wall. Stannis's forces are currently marching on Winterfell to reclaim the Stark castle from House Bolton, the Lannister-backed Wardens of the North.  Stannis styles himself as Stannis of the House Baratheon, First of His Name, King of the Andals and the First Men, Lord of the Seven Kingdoms and Protector of the Realm."	http://img3.wikia.nocookie.net/__cb20150609005538/gameofthrones/images/thumb/7/7a/Stannis_S05E09.png/250px-Stannis_S05E09.png	50	http://gameofthrones.wikia.com/wiki/Stannis_Baratheon	Baratheon
Loras Tyrell	"Ser Loras Tyrell, the heir to Highgarden, is a popular tourney knight and ranks as one of the most skilled knights in Westeros. He was the lover of Renly Baratheon and supported his claim to the Iron Throne as commander of his Kingsguard. After Renly is murdered and believing Stannis Baratheon to be responsible, Loras has sworn vengeance, and has joined forces with King Joffrey and Tywin Lannister in the War of the Five Kings"	http://img2.wikia.nocookie.net/__cb20150519170126/gameofthrones/images/a/a7/LorasHD3x06-0.png		http://gameofthrones.wikia.com/wiki/Loras_Tyrell	Tyrell
Margaery Tyrell	"Margaery is the widow of King Renly Baratheon, a claimant to the Iron Throne in the War of the Five Kings. Her father Lord Mace Tyrell is the ruler of the Reach. She is betrothed to King Joffrey Baratheon after the Battle of Blackwater, and briefly becomes his queen, but this is cut short when Joffrey is fatally poisoned at their wedding feast. She subsequently was betrothed to Joffrey's brother and successor, Tommen Baratheon. Margaery is known for her beauty, political cunning, and ambition, although she has a compassionate side."	http://img4.wikia.nocookie.net/__cb20150416014255/gameofthrones/images/thumb/6/6e/MargS5.png/250px-MargS5.png		http://gameofthrones.wikia.com/wiki/Margaery_Tyrell	Tyrell
Olenna Tyrell	"The elderly matriarch of House Tyrell, Lady Olenna has been a master of court politics and intrigue par excellence throughout her life. She's also known for her wit and sarcasm. As a result, Lady Olenna is popularly nicknamed the Queen of Thorns, in reference to her House's sigil and her cutting barbs. In many ways she is the de facto head of House Tyrell at the time of the War of the Five Kings and appears to hold a great deal of influence over the Reach."	http://img4.wikia.nocookie.net/__cb20140417125307/gameofthrones/images/thumb/c/c3/Olenna-Tyrell-S4EP01.jpg/250px-Olenna-Tyrell-S4EP01.jpg		http://gameofthrones.wikia.com/wiki/Olenna	Tyrell
Doran Martell	"Doran Martell is the head of House Martell, the ruling Prince of Dorne, and the Lord of Sunspear. He is the older brother of Elia and Oberyn Martell, and the father of Trystane Martell."	http://img2.wikia.nocookie.net/__cb20150131015940/gameofthrones/images/thumb/1/14/Doran_Martell_Prince_of_Dorne.jpg/250px-Doran_Martell_Prince_of_Dorne.jpg		http://gameofthrones.wikia.com/wiki/Doran_Martell	Martel
Ellaria Sand	"Ellaria is the paramour of Prince Oberyn Martell of Dorne and a bastard of House Uller. ""Sand"" is the surname used for noble-born bastards in Dorne, like ""Snow"" in the North."	http://img2.wikia.nocookie.net/__cb20150313155847/gameofthrones/images/thumb/4/42/Ellaria-S5.png/250px-Ellaria-S5.png		http://gameofthrones.wikia.com/wiki/Ellaria_Sand	Martel
Oberyn Martell	"He's a member of House Martell, the ruling family of Dorne. Oberyn is well known for his fighting skills, passionate temper, and sexual appetites.  Prince Oberyn, known as the Red Viper of Dorne, is the younger brother of Doran Martell, the Prince of Dorne, and the late Elia Martell, wife of Rhaegar Targaryen, the late Prince of Dragonstone and heir to the Iron Throne. Traveling to King's Landing to attend Joffrey's royal wedding in his brother's place, Oberyn's real motive is to seek revenge for the murder and rape of his sister by Tywin's bannerman, Gregor Clegane. Oberyn gets an opportunity to kill Clegane when he volunteers to champion Tyrion Lannister in a trial by combat; although he manages to severely wound and poison Clegane, he is ultimately killed."	http://img1.wikia.nocookie.net/__cb20150302145403/gameofthrones/images/thumb/6/67/Oberyn_Martell_%28Season_4%2C_Episode_06%29.png/250px-Oberyn_Martell_%28Season_4%2C_Episode_06%29.png	38	http://gameofthrones.wikia.com/wiki/Oberyn_Martell	Martel
Barristan Selmy	"Ser Barristan Selmy is a knight who is considered by many to be one of the best swordsmen in the whole of the Seven Kingdoms and is known as Barristan the Bold. He served in the Kingsguard with honor and distinction for almost forty years, before being abruptly dismissed by King Joffrey.  Insulted by his dismissal from the Kingsguard, Selmy makes his way across the Narrow Sea to Astapor and seeks out Daenerys Targaryen. After saving Daenerys from an assassination attempt, he pledges fealty to her and becomes one of her trusted advisors.  He eventually became her closest advisor after the banishment of Jorah Mormont, before he was killed fighting the Sons of the Harpy."	http://img1.wikia.nocookie.net/__cb20150504180820/gameofthrones/images/thumb/1/1f/Barristan_Selmy_Sons_of_the_Harpy.jpg/250px-Barristan_Selmy_Sons_of_the_Harpy.jpg	44	http://gameofthrones.wikia.com/wiki/Barristan_Selmy	King's Guard
Janos Slynt	"Janos Slynt is the commander of the City Watch in King's Landing. He is named Lord of Harrenhal and becomes the founder of House Slynt for his service to King Joffrey Baratheon and the betrayal and arrest of Ned Stark. He is exiled to the Night's Watch by the acting Hand of the King, Tyrion Lannister, for his part in the massacre of King Robert Baratheon's bastard children, but he is ultimately executed for insubordination by Jon Snow."	http://img2.wikia.nocookie.net/__cb20140512174106/gameofthrones/images/thumb/b/b7/Janos-HD.png/250px-Janos-HD.png	43	http://gameofthrones.wikia.com/wiki/Janos_Slynt	King's Guard
Meryn Trant	Meryn Trant was a knight of the Kingsguard under King Robert Baratheon and subsequently Kings Joffrey and Tommen before being killed by Arya Stark.	http://img2.wikia.nocookie.net/__cb20140928135510/gameofthrones/images/thumb/4/46/Ser_Meryn.png/250px-Ser_Meryn.png	50	http://gameofthrones.wikia.com/wiki/Meryn_Trant	King's Guard
Locke	"Locke was a man-at-arms sworn to House Bolton, and considered by Roose Bolton to be his best hunter. He was sent in pursuit of Jaime Lannister after the Kingslayer was freed from Northern captivity by Catelyn Stark. He was later sent by Bolton to hunt down and kill the remaining Stark boys, Bran and Rickon, but the encounter led to his death when Hodor, under Bran's warg control, snapped his neck."	http://img2.wikia.nocookie.net/__cb20140514090407/gameofthrones/images/thumb/1/1c/Locke-Profile-HD.png/250px-Locke-Profile-HD.png	35	http://gameofthrones.wikia.com/wiki/Locke	Bolton
Ramsay Bolton	"As the bastard son of Lord Roose Bolton, Ramsay originally used the traditional surname for bastards born in the North, and was known as ""Ramsay Snow"". However, he has recently been legitimized as Lord Bolton's lawful son, and has therefore been officially renamed ""Ramsay Bolton"" and thus giving him all the rights of a trueborn son, including the right to inherit the Dreadfort and Winterfell, his father's lands.  Ramsay is violent and sadistic, and fond of the ancient Bolton practice of flaying. During the War of the Five Kings, he is initially an ally of Robb Stark when he is dispatched by his father to retake Winterfell from Theon Greyjoy. Ramsay, however, massacres the ironborn garrison, puts the castle to the torch, and takes Theon prisoner, all part of his father's plan to betray Robb and the Northern army to the Lannisters. He subjects Theon to extensive physical and psychological torture, turning him into a broken pet named ""Reek""."	http://img4.wikia.nocookie.net/__cb20150617120152/gameofthrones/images/thumb/5/51/Ramsay_Bolton-S05E10.png/250px-Ramsay_Bolton-S05E10.png		http://gameofthrones.wikia.com/wiki/Ramsay	Bolton
Roose Bolton	"Roose Bolton is the Lord of the Dreadfort and the head of House Bolton. He declared for Robb Stark in the War of the Five Kings, but ultimately betrayed Robb and murdered him during the massacre at Edmure Tully's wedding at The Twins. Roose was then appointed Warden of the North as a reward."	http://img1.wikia.nocookie.net/__cb20150131122254/gameofthrones/images/thumb/6/62/Roose_Bolton_Season5.png/250px-Roose_Bolton_Season5.png		http://gameofthrones.wikia.com/wiki/Roose_Bolton	Bolton
Craster	Craster is a member of the Free Folk and an unsavory ally of the Night's Watch.	http://img2.wikia.nocookie.net/__cb20140518155925/gameofthrones/images/thumb/7/78/CrasterHD3x03.png/250px-CrasterHD3x03.png	24	http://gameofthrones.wikia.com/wiki/Craster	Free Folk
Gilly	"Gilly is one of the Free Folk, and is a daughter and wife of Craster."	http://img1.wikia.nocookie.net/__cb20140615212038/gameofthrones/images/0/0e/Gilly.png		http://gameofthrones.wikia.com/wiki/Gilly	Free Folk
Mance Rayder	"Mance Rayder was once a noted ranger of the Night's Watch. He was actually born a wildling and is proud that he has wildling blood in his veins, but as an infant he was left at one of the castles on the Wall to be raised in the Night's Watch.  As a young man, he deserted his post and fled north of the Wall to join the wildlings. He rose to become the King-Beyond-the-Wall, a title bestowed on a wildling leader who manages to unify all of the tribes under his command. It appears he has held the position of King-Beyond-the-Wall for more than a decade, as Ser Alliser Thorne mentions he was King-Beyond-the-Wall during the previous winter."	http://img2.wikia.nocookie.net/__cb20150414032900/gameofthrones/images/thumb/c/cc/Mance_rayder_wars_to_come.png/250px-Mance_rayder_wars_to_come.png	41	http://gameofthrones.wikia.com/wiki/Mance_Rayder	Free Folk
Osha	"Osha is a woman of the Free Folk (or ""wildling""), now in service to House Stark of Winterfell. Osha is currently escorting Rickon Stark to Last Hearth to seek refuge with House Umber."	http://img2.wikia.nocookie.net/__cb20130305150846/gameofthrones/images/thumb/4/49/Osha-S3.jpg/250px-Osha-S3.jpg		http://gameofthrones.wikia.com/wiki/Osha	Free Folk
Tormund Giantsbane	"He is a renowned leader and raider among the Free Folk and second in command behind Mance Rayder. He is played by Kristofer Hivju.  Tormund was captured by the Night's Watch during the Battle of Castle Black. After Mance's death, the new Lord Commander of the Night's Watch, Jon Snow, released Tormund and asked him to help win over the remaining wildlings into an alliance against the White Walkers. Tormund was present at the massacre at Hardhome where he fought against the army of the dead."	http://img2.wikia.nocookie.net/__cb20150415044031/gameofthrones/images/4/46/TormundGS5.png		http://gameofthrones.wikia.com/wiki/Tormund	Free Folk
Ygritte	 Ygritte was a woman of the Free Folk who lived north of the Wall. She was part of Mance Rayder's army and the lover of Jon Snow.	http://img3.wikia.nocookie.net/__cb20140518100049/gameofthrones/images/thumb/4/47/Ygritte-Profile-HD.png/250px-Ygritte-Profile-HD.png	39	http://gameofthrones.wikia.com/wiki/Ygritte	Free Folk
Beric Dondarrion	"Beric Dondarrion is the Lord of Blackhaven and the head of House Dondarrion. Initially sent out by Eddard Stark to lead a party of men to apprehend Ser Gregor Clegane for atrocities committed against the people of the Riverlands, Dondarrion became leader of the outlaw resistance group known as the Brotherhood Without Banners."	http://img2.wikia.nocookie.net/__cb20140515114751/gameofthrones/images/thumb/2/2f/Beric-Dondarrion-Profile-HD.png/250px-Beric-Dondarrion-Profile-HD.png		http://gameofthrones.wikia.com/wiki/Beric_Dondarrion	Other
Brienne of Tarth	"She is a warrior of House Tarth, vassals to House Baratheon. After winning a tournament melee, she is made a member of King Renly Baratheon's new Kingsguard, shortly before his assassination. She becomes the sworn sword of Catelyn Stark and vows to avenge Renly's death. She is charged by Catelyn Stark to return Jaime Lannister to King's Landing, in an attempt to exchange him for her two daughters she believes are held hostage there."	http://img1.wikia.nocookie.net/__cb20150515051937/gameofthrones/images/thumb/4/40/Brienne_S05E05.jpg/250px-Brienne_S05E05.jpg		http://gameofthrones.wikia.com/wiki/Brienne_of_Tarth	Other
Brynden Tully	"Ser Brynden Tully is a knight and a member of House Tully. He is the younger brother of Lord Hoster Tully, and the uncle of Catelyn, Lysa, and Edmure Tully."	http://img2.wikia.nocookie.net/__cb20150608235840/gameofthrones/images/thumb/b/b6/3x03_Brynden.png/250px-3x03_Brynden.png		http://gameofthrones.wikia.com/wiki/Brynden_Tully	Other
Gendry	"Gendry is an unacknowledged bastard son of King Robert Baratheon. He is a skilled blacksmith who was traveling with Yoren to the Wall to join the Night's Watch when he was taken prisoner at Harrenhal. He later escaped with Arya and Hot Pie. After meeting with the Brotherhood Without Banners, Gendry decides to stay with the outlaw group until the red priestess Melisandre arrives to bring him to Dragonstone."	http://img3.wikia.nocookie.net/__cb20140406203314/gameofthrones/images/thumb/4/4f/Larges3-ep1-people-profilepic-gendry-800x800.jpg/250px-Larges3-ep1-people-profilepic-gendry-800x800.jpg		http://gameofthrones.wikia.com/wiki/Gendry	Other
High Sparrow	The High Sparrow is the leader of the religious sect known as the Sparrows and the newly appointed High Septon.	http://img1.wikia.nocookie.net/__cb20150201141749/gameofthrones/images/8/89/High_Sparrow.png		http://gameofthrones.wikia.com/wiki/High_Sparrow	Other
Hot Pie	He is an orphan and now fugitive previously accompanying Arya Stark.	http://img1.wikia.nocookie.net/__cb20140529081339/gameofthrones/images/thumb/1/17/Hot_Pie-Profile-HD.png/250px-Hot_Pie-Profile-HD.png		http://gameofthrones.wikia.com/wiki/Hot_Pie	Other
Jaqen H'ghar	"Jaqen H'ghar is a mysterious man - introducing himself as a Lorathi criminal - who was arrested and put in the dungeons of King's Landing, before being recruited by Yoren to join the Night's Watch. He is in Yoren's party as the latter smuggles Arya Stark out of King's Landing. He travels with them to the lands south of Harrenhal, where they are captured by Lannister forces.  In reality, ""Jaqen H'ghar"" is just an assumed identity of one of the Faceless Men of Braavos, a feared order of mysterious assassins with the ability to change their appearance at will. After the Jaqen persona is of no more use to him, the Faceless Man shapeshifts into a new appearance and tells Arya he will train her to be a Faceless Man if she goes with him. Eventually, Arya travels to Braavos to look for him and finds him, and he promises to train her."	http://img2.wikia.nocookie.net/__cb20150421020227/gameofthrones/images/thumb/3/3b/AManSeason5.jpg/250px-AManSeason5.jpg		http://gameofthrones.wikia.com/wiki/Jaqen_H'ghar	Other
Lysa Arryn	"Lysa was the Lady Regent of the Vale, ruling on behalf of her young son Robin Arryn. She doted on her son and pursued a policy of isolationism since the death of her husband Jon Arryn. She presided over the trial of Tyrion Lannister for the murder of Jon Arryn and the attempted murder of Bran Stark. He proves his innocence in a trial by combat. Lysa refused to commit her forces to aid her sister Catelyn Stark in the War of the Five Kings."	http://img2.wikia.nocookie.net/__cb20140523133128/gameofthrones/images/thumb/4/46/LysaArryn.png/250px-LysaArryn.png	37	http://gameofthrones.wikia.com/wiki/Lysa_Arryn	Other
Petyr Baelish	"Petyr Baelish was the Master of Coin on the Small Council. He is a skilled manipulator and uses his ownership of brothels in King's Landing to both accrue intelligence on political rivals and acquire vast wealth. Baelish's spy network is eclipsed only by that of Varys. He betrayed Eddard Stark to side with House Lannister and King Joffrey Baratheon following the death of King Robert Baratheon, becoming one of the instigators of the War of the Five Kings. Following the events of the Battle of Blackwater, King Joffrey named Littlefinger the Lord of Harrenhal. He eventually marries Lysa Arryn and proceeds to murder her shortly afterwards, becoming Lord Protector of the Vale until Lord Robin Arryn comes of age and one of the most powerful men in all of Westeros."	http://img1.wikia.nocookie.net/__cb20150219051259/gameofthrones/images/thumb/8/87/Littlefinger_S5.jpg/250px-Littlefinger_S5.jpg		http://gameofthrones.wikia.com/wiki/Petyr_Baelish	Other
Robin Arryn	"Lord Robin Arryn is the only surviving child and heir of Lord Jon Arryn by his wife, Lysa of House Tully. He is the Lord of the Eyrie, the head of House Arryn, the Warden of the East and Lord Paramount of the Vale of Arryn. His mother was killed by Petyr Baelish in ""Mockingbird"" by being pushed out of the Moon Door and falling hundreds of feet to her death, leaving Petyr as the acting Lord Paramount of the Vale as Robin's step-father."	http://img2.wikia.nocookie.net/__cb20140505062813/gameofthrones/images/thumb/2/2e/Robin-Arryn-405.jpg/250px-Robin-Arryn-405.jpg		http://gameofthrones.wikia.com/wiki/Robin_Arryn	Other
Theon Greyjoy	"Theon is the heir of Lord Balon Greyjoy of the Iron Islands. He has been a hostage of House Stark since his father's failed uprising against King Robert Baratheon. Despite his status, Theon became a close friend to Robb Stark. However, after Robb sent him as an emissary to his father during his war against the Iron Throne, the Greyjoy prince turned on the Starks and joined Lord Balon in his campaign to seize the North. He took over Winterfell and installed himself as Prince of Winterfell until he was betrayed by his own crew and delivered to House Bolton shortly after. As a prisoner of Ramsay Snow, the ""Bastard of Bolton"", he has been subjected to physical and psychological torture and mockingly renamed as ""Reek""."	http://img3.wikia.nocookie.net/__cb20150521020701/gameofthrones/images/0/0a/Reek_in_sansas_wedding.jpg		http://gameofthrones.wikia.com/wiki/Theon_Greyjoy	Other
Thoros of Myr	Thoros is a red priest of the Lord of Light and a noted warrior.	http://img1.wikia.nocookie.net/__cb20140514092737/gameofthrones/images/thumb/6/65/Thoros-HD-Profile.png/250px-Thoros-HD-Profile.png		http://gameofthrones.wikia.com/wiki/Thoros	Other
Yara Greyjoy	"Yara is an ironborn, Theon Greyjoy's older sister and his only surviving sibling. She was raised at Pyke, the stronghold of House Greyjoy. Yara is a fierce warrior and commands her own longship."	http://img2.wikia.nocookie.net/__cb20131003215834/gameofthrones/images/thumb/3/3c/YaraS3.jpg/250px-YaraS3.jpg		http://gameofthrones.wikia.com/wiki/Yara_Greyjoy	Other
